# 自选股清单示例
# 复制此文件并按需修改，在 skill.yaml 中配置 portfolio_file 指向实际路径
#
# 格式：代码,名称,数量,自选价格
#   代码      ── 必填。A股/ETF/基金 6位数字，港股 5位数字，美股 英文 ticker
#   名称      ── 可留空，查询时自动从行情接口获取
#   数量      ── 股数/份额；留空或 0 表示纯自选（只查行情，不计算市值）
#   自选价格  ── 每股/每份参考价（对应该标的的计价币种）；留空时不计算浮盈亏
#
# ⚠️  安全提示：本文件仅含代码与价格信息，切勿写入账户密码或 API 密钥。

代码,名称,数量,自选价格

# ── A 股 ──────────────────────────────────────────────
601991,大唐发电,1000,4.00
600519,贵州茅台,10,1680.00
000858,五粮液,50,155.00

# ── 场内 ETF ─────────────────────────────────────────
510300,沪深300ETF,5000,4.10
518880,黄金ETF,2000,6.20
159915,创业板ETF,3000,2.50
512890,红利低波ETF,8000,1.85

# ── 场外基金 ─────────────────────────────────────────
014978,华安纳指100C,10000,6.50
110011,易方达中小盘,500,2.80

# ── 港股 ─────────────────────────────────────────────
00700,腾讯控股,100,480.00
09988,阿里巴巴,200,85.00

# ── 美股 ─────────────────────────────────────────────
AAPL,苹果,50,220.00
NVDA,英伟达,20,800.00
MSFT,微软,30,380.00

# ── 纯自选（仅看行情，数量留空或填 0）──────────────────────
000300,,0,
000001,,0,
.DJI,,0,
.IXIC,,0,
